Source,Target,Weight,Type
UF00001345,UF00073618,0.5501219034194946,directed
UF00001347,UF00072765,0.7868139147758484,directed
UF00001347,UF00026212,0.6814386248588562,directed
UF00001347,UF00074442,0.6786300539970398,directed
UF00001347,UF00074475,0.6727256774902344,directed
UF00001347,UF00072802,0.6639001369476318,directed
UF00001347,UF00074474,0.6638234853744507,directed
UF00001347,UF00072796,0.6636335849761963,directed
UF00001347,UF00072751,0.6528056859970093,directed
UF00001347,UF00028212,0.6511256694793701,directed
UF00001347,UF00073591,0.6509330868721008,directed
UF00001347,UF00073639,0.6497787237167358,directed
UF00001347,UF00073602,0.6488895416259766,directed
UF00001347,UF00073579,0.6481726169586182,directed
UF00001347,UF00073546,0.6471585035324097,directed
UF00001347,UF00072778,0.6461155414581299,directed
UF00001347,UF00026211,0.6450670957565308,directed
UF00001347,UF00074452,0.6420314908027649,directed
UF00001347,UF00072749,0.638822078704834,directed
UF00001347,canonical2,0.6357810497283936,directed
UF00001347,UF00072766,0.6328868865966797,directed
UF00001347,UF00073604,0.6318193674087524,directed
UF00001347,UF00073563,0.6288012266159058,directed
UF00001347,UF00073608,0.628247857093811,directed
UF00001347,UF00073599,0.6225419640541077,directed
UF00001347,UF00073589,0.6222074031829834,directed
UF00001347,UF00096278,0.617239236831665,directed
UF00001347,UF00073559,0.617032527923584,directed
UF00001347,UF00049560,0.6169060468673706,directed
UF00001347,UF00073583,0.6165838241577148,directed
UF00001347,UF00074446,0.6165109872817993,directed
UF00001347,UF00072774,0.6149111390113831,directed
UF00001347,UF00073642,0.614789605140686,directed
UF00001347,UF00073618,0.6136194467544556,directed
UF00001347,UF00073551,0.6120917201042175,directed
UF00001347,UF00073645,0.6113157272338867,directed
UF00001347,UF00073584,0.6112356185913086,directed
UF00001347,UF00072798,0.6107479333877563,directed
UF00001347,UF00073647,0.6097697019577026,directed
UF00001347,UF00073640,0.6097159385681152,directed
UF00001347,UF00072753,0.605678379535675,directed
UF00001347,UF00073567,0.5988331437110901,directed
UF00001347,UF00074476,0.5984551906585693,directed
UF00001347,UF00073632,0.595529317855835,directed
UF00001347,UF00073612,0.5905143618583679,directed
UF00001347,UF00073637,0.5893925428390503,directed
UF00001347,UF00074462,0.5874887108802795,directed
UF00001347,UF00073616,0.5846425294876099,directed
UF00001347,UF00073545,0.5838122367858887,directed
UF00001347,UF00072784,0.583567202091217,directed
UF00001347,UF00073571,0.5815061330795288,directed
UF00001347,UF00073552,0.5814287066459656,directed
UF00001347,UF00073547,0.5802556276321411,directed
UF00001347,UF00073622,0.5793174505233765,directed
UF00001347,UF00026578,0.578658938407898,directed
UF00001347,UF00073646,0.5757580399513245,directed
UF00001347,UF00073575,0.5757017135620117,directed
UF00001347,UF00072759,0.5726708173751831,directed
UF00001347,UF00074443,0.5706547498703003,directed
UF00001347,UF00073615,0.5700581073760986,directed
UF00001345,UF00001347,0.5699415802955627,directed
UF00001347,UF00073569,0.5681799054145813,directed
UF00001347,UF00073606,0.5653611421585083,directed
UF00001347,UF00073558,0.5636026859283447,directed
UF00001347,UF00073629,0.5624983310699463,directed
UF00001347,UF00074478,0.5621886253356934,directed
UF00001347,UF00072767,0.5567934513092041,directed
UF00001347,UF00074457,0.5557460188865662,directed
UF00001347,UF00074450,0.5536482334136963,directed
UF00001347,UF00074441,0.5523724555969238,directed
UF00073577,UF00023492,0.7244547009468079,directed
UF00023580,UF00073628,0.7435834407806396,directed
UF00073546,UF00023580,0.5674399137496948,directed
UF00024837,UF00028228,0.9744240045547485,directed
UF00024837,UF00053431,0.6950397491455078,directed
UF00024837,UF00083210,0.6512621641159058,directed
UF00024837,UF00049557,0.644837498664856,directed
UF00024837,UF00096276,0.6408946514129639,directed
UF00024837,UF00074459,0.637317955493927,directed
UF00024837,UF00074439,0.6325646638870239,directed
UF00024837,UF00028328,0.6252525448799133,directed
UF00081205,UF00024837,0.6241276860237122,directed
UF00073573,UF00024837,0.6236331462860107,directed
UF00024837,UF00049816,0.6204978227615356,directed
UF00024837,UF00073638,0.5591204166412354,directed
UF00073570,UF00026210,0.8178008794784546,directed
UF00053424,UF00026210,0.7033998966217041,directed
