,UFDC code,title,publication date,location,oclc,language
198,http://ufdc.ufl.edu/UF00073627,My Robinson Crusoe story book ,1890,"[' New York ', ' London ']",,
199,http://ufdc.ufl.edu/UF00055798,My treasure,1888,"[' Chicago, New York ']",,
200,http://ufdc.ufl.edu/AA00021428,The new Robinson Crusoe,1789,[' London '],,
201,http://ufdc.ufl.edu/UF00072760,"The New Robinson Crusoe, designed for youth",1829,[' New York '],,
202,http://ufdc.ufl.edu/UF00074468,Premiáeres aventures de Robinson Crusoe,1928,[' Cambridge '],,
203,http://ufdc.ufl.edu/UF00074466,Robinson Crusoe,1925,"[' Chicago, Philadelphia, Dallas ']",,
204,http://ufdc.ufl.edu/UF00073641,Robinson Crusoe,1906,"[' London, New York']",,
205,http://ufdc.ufl.edu/UF00073642,Robinson Crusoe,1945,[' New York '],,
206,http://ufdc.ufl.edu/UF00074475,Robinson Crusoe.,1946,[' New York' ],,
207,http://ufdc.ufl.edu/UF00074456,Robinson Crusoe,1958,"[' London ', ' New York ']",,
208,http://ufdc.ufl.edu/UF00074448,Robinson Crusoe,1898,[' New York '],,
209,http://ufdc.ufl.edu/UF00074453,Robinson Crusoe,1900,"[' New York, London, Paris ']",,
210,http://ufdc.ufl.edu/UF00074438,Robinson Crusoe.,1895,[' New York '],,
211,http://ufdc.ufl.edu/UF00074444,Robinson Crusoe.,1897,[' New York '],,
212,http://ufdc.ufl.edu/UF00074439,Robinson Crusoe,1895,[' Philadelphia '],,
213,http://ufdc.ufl.edu/UF00096279,Robinson Crusoe,1897,[' New York '],,
214,http://ufdc.ufl.edu/UF00096273,Robinson Crusoe,1895,[' New York '],,
215,http://ufdc.ufl.edu/UF00096274,Robinson Crusoe,1895,[' New York '],,
216,http://ufdc.ufl.edu/UF00096275,Robinson Crusoe,1895,[' New York '],,
217,http://ufdc.ufl.edu/UF00096276,Robinson Crusoe,1895,[' Philadelphia '],,
218,http://ufdc.ufl.edu/UF00003505,Robinson Crusoe,1859,[' Boston '],,
219,http://ufdc.ufl.edu/UF00073632,Robinson Crusoe,1892,[' Chicago '],,
220,http://ufdc.ufl.edu/UF00073604,Robinson Crusoe,1882,"[' New York ', ' London ']",,
221,http://ufdc.ufl.edu/UF00073565,Robinson Crusoe,1873,"[' London, New York ']",,
222,http://ufdc.ufl.edu/UF00074445,Robinson Crusoe,1897,[' New York '],,
223,http://ufdc.ufl.edu/UF00073572,Robinson Crusoe,1869,[' New York '],,
224,http://ufdc.ufl.edu/UF00074477,Robinson Crusoe,1948,[' Philadelphia '],,
225,http://ufdc.ufl.edu/UF00072751,Robinson Crusoe,1820,"[' London ', ' Edinburgh ']",,
226,http://ufdc.ufl.edu/UF00072753,Robinson Crusoe,1822,[' Chiswick '],,
227,http://ufdc.ufl.edu/UF00072757,Robinson Crusoe,1826,[' Hartford CT '],,
228,http://ufdc.ufl.edu/UF00001347,Robinson Crusoe,1812,[' London '],,
229,http://ufdc.ufl.edu/UF00073542,Robinson Crusoe,1863.5,[' New York '],,
230,http://ufdc.ufl.edu/UF00073561,Robinson Crusoe,1866,"[' London, Cambridge ']",,
231,http://ufdc.ufl.edu/UF00073573,Robinson Crusoe,1869,[' New York '],,
232,http://ufdc.ufl.edu/UF00054522,Robinson Crusoe,1889,[' New York '],,
233,http://ufdc.ufl.edu/UF00072801,Robinson Crusoe,1851.5,[' Boston '],,
234,http://ufdc.ufl.edu/UF00023604,Robinson Crusoe,1880,[' New York '],,
235,http://ufdc.ufl.edu/UF00072765,Robinson Crusoe,1831,[' London '],,
236,http://ufdc.ufl.edu/UF00026664,Robinson Crusoe,1878,[' New York '],,
237,http://ufdc.ufl.edu/UF00081205,Robinson Crusoe : in words of one syllable,1869,[' New York '],,
238,http://ufdc.ufl.edu/UF00074478,"Robinson Crusoe, and A journal of the plague year",1948,[' New York '],,
239,http://ufdc.ufl.edu/UF00073568,Robinson Crusoe. Fairy tales. Tom Brown's school days,1877,,,
240,http://ufdc.ufl.edu/UF00054403,"Robinson Crusoe, his life and adventures",1887,"[' London, New York ']",,
241,http://ufdc.ufl.edu/UF00073609,"Robinson Crusoe, his life and adventures",1886,"[' London ', ' New York ']",,
242,http://ufdc.ufl.edu/UF00074459,Robinson Crusoe in words of one syllable,1882,[' Philadelphia '],,
243,http://ufdc.ufl.edu/UF00028328,Robinson Crusoe in words of one syllable,1876,[' New York '],,
244,http://ufdc.ufl.edu/UF00049816,Robinson Crusoe in words of one syllable,1882,[' New York '],,
245,http://ufdc.ufl.edu/UF00049557,Robinson Crusoe in words of one syllable,1882,[' New York '],,
246,http://ufdc.ufl.edu/UF00073631,"Robinson Crusoe, the clever cats, &c.;",1892,"[' London, Edinburgh, New York ']",,
247,http://ufdc.ufl.edu/UF00072769,The Singular adventures of Robinson Crusoe ,1836,"[' Derby ', ' London ']",,
248,http://ufdc.ufl.edu/UF00001811,"The solitary of Juan Fernandez, or, The real Robinson Crusoe",1851,[' Boston '],,
249,http://ufdc.ufl.edu/UF00082141,The strange and surprising adventures of Robinson Crusoe of York mariner,1899.5,[' Boston '],,
250,http://ufdc.ufl.edu/UF00073635,The Strange and surprising adventures of Robinson Crusoe of York mariner,1899.5,[' Boston '],,
251,http://ufdc.ufl.edu/UF00072767,The surprising adventures of Robinson Crusoe ,1832,[' London '],,
