htrc-id,pubcity,pubyear,title,oclc,language
None,[Farmington Hills ,2005,"The wonderful life, and most surprizing adventures of Robinson Crusoe, of York; mariner. Containing a full and particular account how he lived eight and twenty years in an un-inhabited island on the coast of America: ... Faithfully epitomized from the three volumes, and adorned with cutts",690359658,None
None,[Farmington Hills ,2005,"The wonderful life, and most surprizing adventures of Robinson Crusoe, of York; mariner. Containing a full and particular account how he lived eight and twenty years in an un-inhabited island on the coast of America: ... Faithfully epitomized from the three volumes, and adorned with cutts",690359658,None
None,[Farmington Hills ,2005,"The life and adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque. ... Written by himself. ... In two volumes.",690359593,None
None,[Farmington Hills ,2005,"The sureprsing [sic] life, and most strange adventures of Robinson Crusoe, of the city of York, mariner, giving an account how he was cast on shore by shipwreck ... on an uninhabited island on the coast of America, near the mouth of the great river Oroonoque, where he lived twenty eight years",690359867,None
None,[Finland] ,19--,Robinson Crusoen.,40797078,None
None,[Frankfurt ,1971,"Robinson Crusoe; oder, kleine, für die Jugend äuszüge aus desses merkwürdigen Reisen.",20029294,None
None,[Frankfurt a.M.] ,1971,"Robinson Crusoe : oder kleine, für die Jugend äusserst anziehende und nützliche Auszüge aus dessen merkwürdigen Reisen mit 24 colorierten Bildern",884520029,None
None,[Fürth ,1961,Robinson Crusoe : [Aus d. Engl.],772650270,None
None,[Gainesville ,2004,"Daniel Defoe's ""Robinson Crusoe"" & the Robinsonades.",244440496,None
None,[Garfield Heights ,2012,"The king of pirates : being an account of the famous enterprises of Captain Avery, the mock King of Madagascar",872368852,None
None,[Great Britain] ,1930,Robinson Crusoe,850166330,None
None,[Great Britain] ,1930,Robinson Crusoe,850166330,None
None,[Hải Phòng] ,2002,Robinson Crusoe,65523379,None
None,[Halifax ,182-,"The life and surprising adventures of Robinson Crusoe; including an account of his shipwreck, and residence for twenty eight years on an unknown island ...",68199997,None
None,[Hamburg] ,2010,Robinson Crusoe,501314919,None
None,[Hollywood ,2011,Robinson Crusoe,810277044,None
None,[Horsens] ,2015,Robinson Crusoe,930496595,None
None,[Ismaning] ,2007,Robinson Crusoe : level 2 / [1] Buch.,645548908,None
