libcode,pubcity,pubyear,title,oclc,language
http://ufdc.ufl.edu/UF00073571,London++New York,1869,Life and adventures of Robinson Crusoe,27866810,English
http://ufdc.ufl.edu/UF00073585,Philadelphia,1873,The Life and adventures of Robinson Crusoe,28050566,English
http://ufdc.ufl.edu/UF00073545,Boston,1861,The Life and adventures of Robinson Crusoe,27943248,English
http://ufdc.ufl.edu/UF00073544,London ( Paternoster Row )++Edinburgh++New York,1860,The Life and adventures of Robinson Crusoe,27943264,English
http://ufdc.ufl.edu/UF00072807,Philadelphia (No. 138 North Second Street),1856.5,The life and adventures of Robinson Crusoe ,28307148,English
http://ufdc.ufl.edu/UF00072810,London (23A Paternoster Row),1856,The life and adventures of Robinson Crusoe ,24765957,English
http://ufdc.ufl.edu/UF00072802,London (Soho Square),1850,The life and adventures of Robinson Crusoe ,17577742,English
http://ufdc.ufl.edu/UF00072779,New York,1841,The life and adventures of Robinson Crusoe,27089962,English
http://ufdc.ufl.edu/UF00072809,London (Farringdon Street)++New York (18 Beekman Street),1855,The life and adventures of Robinson Crusoe ,10945661,English
http://ufdc.ufl.edu/UF00073559,Boston++New York,1866,Life and adventures of Robinson Crusoe,27966270,English
http://ufdc.ufl.edu/UF00073562,London ( 58 Holborn Hill ),1867,The Life and adventures of Robinson Crusoe,28229572,English
http://ufdc.ufl.edu/UF00073566,London,1868,The Life and adventures of Robinson Crusoe,28229576,English
http://ufdc.ufl.edu/UF00073579,Philadelphia,1870,Life and adventures of Robinson Crusoe,16161231,English
http://ufdc.ufl.edu/UF00073564,London ( 15 Bedford Street Covent Garden ),1867,The Life and adventures of Robinson Crusoe,22831827,English
http://ufdc.ufl.edu/UF00073548,"Boston++Concord, N. H.",1863,The Life and adventures of Robinson Crusoe,27943258,English
http://ufdc.ufl.edu/UF00073551,London (Farringdon Street)++New York (Walker Street),1864,The life and adventures of Robinson Crusoe ,9094892,English
http://ufdc.ufl.edu/UF00073555,London (Paternoster Row)++Edinburgh++New York,1864,Life and adventures of Robinson Crusoe ,27943240,English
http://ufdc.ufl.edu/UF00001345,London,1808,The life and adventures of Robinson Crusoe,29632395,English
http://ufdc.ufl.edu/UF00072745,London (At the Juvenile and School Library No. 157 New Bond Street),1805,The Life and adventures of Robinson Crusoe ,27691502,English
http://ufdc.ufl.edu/UF00072759,London (No. 17 Paternoster-Row),1829,The life and adventures of Robinson Crusoe,27566787,English
http://ufdc.ufl.edu/UF00073535,New York,1859,The Life and adventures of Robinson Crusoe,3633234,English
http://ufdc.ufl.edu/UF00072795,Philadelphia,1849,The Life and adventures of Robinson Crusoe,25853098,English
http://ufdc.ufl.edu/UF00073613,Boston U.S.A,1886,Life and adventures of Robinson Crusoe ,26812739,English
http://ufdc.ufl.edu/UF00073556,London (158 Fleet Street),1865,The life and adventures of Robinson Crusoe ,28239063,English
http://ufdc.ufl.edu/UF00072749,London++F.C. and J. Rivington++J. Nunn++Cadell and Davies++Longman Hurst Rees Orme and Brown++Law and Whitaker++J. Richardson++Newman and Co.++Lackington and Co.++Black Kingsbury Parbury and Allen++J. Black and Son++Sherwood Neely and Jones++R. Scholey++Baldwin Cradock and Joy++R. Fenner++J. Robinson++E. Edwards++and B. Reynolds++London Johnson's Court),1818,The life and adventures of Robinson Crusoe ,22778625,English
http://ufdc.ufl.edu/UF00072803,Philadelphia (S.E. Cor. Market & Fifth Streets),1852,The life and adventures of Robinson Crusoe,27866800,English
http://ufdc.ufl.edu/UF00072763,London (Gracechurch Street),1831,The life and adventures of Robinson Crusoe ,25393676,English
http://ufdc.ufl.edu/UF00072750,London,1818,The life and adventures of Robinson Crusoe ,5965182,English
http://ufdc.ufl.edu/UF00049560,London (York Street Covent Garden),1882,The life and adventures of Robinson Crusoe /,28229584,English
http://ufdc.ufl.edu/UF00073645,London++New York++Manchester,1893,The Life and adventures of Robinson Crusoe [state 2],,English
http://ufdc.ufl.edu/UF00073646,London++New York++Manchester,1893,The Life and adventures of Robinson Crusoe [state 3],,English
http://ufdc.ufl.edu/UF00073647,London++New York++Manchester,1893,The Life and adventures of Robinson Crusoe [state 4],,English
http://ufdc.ufl.edu/UF00073611,London (8 Lovell's Court Paternoster Row),1888,"The life and adventures of Robinson Crusoe of York, mariner ",28307152,English
http://ufdc.ufl.edu/UF00073625,London (Warwick House Salisbury Square E.C.)++New York (East 12th St.)++Melbourne (3 and 5 St. James St.),1891.5,"The life and adventures of Robinson Crusoe, of York, mariner",27020830,English
http://ufdc.ufl.edu/UF00073598,Boston ( 365 Washington Street ),1885,"The Life and adventures of Robinson Crusoe of York, mariner",28307137,English
http://ufdc.ufl.edu/UF00073590,London,1876,"Life and adventures of Robinson Crusoe of York, mariner",28229587,English
http://ufdc.ufl.edu/UF00073596,London++New York++Melbourne,1885,"The Life and adventures of Robinson Crusoe, of York, Mariner",16874957,English
http://ufdc.ufl.edu/UF00072784,London (12 Old Bond St.)++London (37 New Bond St.),1845,"The life and adventures of Robinson Crusoe of York, mariner",27085557,English
http://ufdc.ufl.edu/UF00073628,London ( 25 Paternoster Square )++Edinburgh,1890,"The Life and adventures of Robinson Crusoe of York, mariner",28307143,English
http://ufdc.ufl.edu/UF00073560,Boston++New York,1866,"Life and adventures of Robinson Crusoe, of York, mariner : with an account of his travels round three parts of the globe.",27966245,English
http://ufdc.ufl.edu/UF00073549,London,1863,The life and adventures of Robinson Crusoe on the island of Juan Fernandez ,27020835,English
http://ufdc.ufl.edu/UF00072771,Bristol R.I,1836,"The life and adventures of Robinson Crusoe, with a life of the author  ",18777269,English
http://ufdc.ufl.edu/UF00073557,New York,1868,"The life and adventures of Robinson Crusoe, of York, mariner ",28050564,English
http://ufdc.ufl.edu/UF00072791,London (86 Fleet St.),1847,"The life and adventures of Robinson Crusoe, of York, mariner ",6056847,English
http://ufdc.ufl.edu/UF00023580,London ( 30 Paternoster Row )++Edinburgh ( 6 George Street ),1880,"The Life and adventures of Robinson Crusoe, of York, mariner",30769392,English
http://ufdc.ufl.edu/UF00072764,New-York,1831,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",22875011,English
http://ufdc.ufl.edu/UF00072747,London++York (High-Ousegate),1811,"The life and most surprising adventures of Robinson Crusoe, of York, mariner ",25561786,English
http://ufdc.ufl.edu/UF00072748,Dublin,1818,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",13528909,English
http://ufdc.ufl.edu/UF00072754,,1823,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",25635616,English
http://ufdc.ufl.edu/UF00072758,,1826,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",27801336,English
http://ufdc.ufl.edu/UF00072744,Edinburgh,1803,"The life and most surprising adventures of Robinson Crusoe of York, mariner",27691507,English
http://ufdc.ufl.edu/UF00001312,New York,1831,"The life and most surprising adventures of Robinson Crusoe, or York, mariner",,English
http://ufdc.ufl.edu/UF00001286,Dunbar,1801,"The life and most surprising adventures of Robinson Crusoe, of York, mariner ",29632420,English
http://ufdc.ufl.edu/UF00073622,Chicago++Philadelphia,1890,The life and strange adventures of Robinson Crusoe,27081922,English
http://ufdc.ufl.edu/UF00074457,Chicago,1904,The life and strange adventures of Robinson Crusoe,28239087,English
http://ufdc.ufl.edu/UF00074443,Chicago,1897,"The life and strange adventures of Robinson Crusoe, as related by himself",28229597,English
http://ufdc.ufl.edu/UF00074446,New York,1897,Life and strange surprising adventures of Robinson Crusoe,4660125,English
http://ufdc.ufl.edu/UF00074464,Chicago++Atlanta++New York,1913,The Life and strange surprising adventures of Robinson Crusoe,3812712,English
http://ufdc.ufl.edu/UF00073605,London++Edinburgh++New York,1882,The life and strange surprising adventures of Robinson Crusoe ,28229603,English
http://ufdc.ufl.edu/UF00074474,Boston,1937,The life and strange surprising adventures of Robinson Crusoe,30571749,English
http://ufdc.ufl.edu/UF00073600,New York,1882.5,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",28315635,English
http://ufdc.ufl.edu/UF00073594,London++Paris++New York,1885,"The life and strange surprising adventures of Robinson Crusoe of York, mariner",26942892,English
http://ufdc.ufl.edu/UF00073586,"New Haven, Conn.",1874,"The Life and strange surprising adventures of Robinson Crusoe of York, Mariner",5905373,English
http://ufdc.ufl.edu/UF00073567,New York++Cambridge,1868,"The Life and strange surprising adventures of Robinson Crusoe, of York, mariner",28229606,English
http://ufdc.ufl.edu/UF00073633,London++Edinburgh,1894,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",24648298,English
http://ufdc.ufl.edu/UF00096278,London++Paris,1896,"The life and strange surprising adventures of Robinson Crusoe, of York, Mariner",8885441,English
http://ufdc.ufl.edu/UF00074454,New York,1900,"The Life and strange surprising adventures of Robinson Crusoe, of York, mariner,",4344007,English
http://ufdc.ufl.edu/UF00073637,London++New York,1897,"The life and strange surprising adventures of Robinson Crusoe of York, mariner",,English
http://ufdc.ufl.edu/UF00073584,Philadelphia++Boston++Cincinnati++Chicago++San Francisco++New Orleans,1872,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",2915112,English
http://ufdc.ufl.edu/UF00073569,London  (74 & 75 Piccadilly ),1869,"The Life and strange surprising adventures of Robinson Crusoe, of York, Mariner",5380647,English
http://ufdc.ufl.edu/UF00074441,London++Paris++Melbourne,1896,"The Life and strange surprising adventures of Robinson Crusoe, of York, Mariner, as related by himself",8885441,English
http://ufdc.ufl.edu/UF00074462,Boston,1915,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner, as related by himself",13131296,English
http://ufdc.ufl.edu/UF00073581,London++Paris++New York,1874.5,"The life and strange surprising adventures of Robinson Crusoe, of York, mariner ",28050571,English
http://ufdc.ufl.edu/UF00073640,"Mount Vernon, N.Y.",1945,"The Life and strange surprizing adventures of Robinson Crusoe of York, mariner",1897114,English
http://ufdc.ufl.edu/UF00073589,London++Edinburgh++New York,1876,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",16936870,English
http://ufdc.ufl.edu/UF00073595,London,1885,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",21109901,English
http://ufdc.ufl.edu/UF00028212,,1875,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",28307257,English
http://ufdc.ufl.edu/UF00024127,London (At the ship in Pater-Noster-Row),1719,"The life and strange surprizing adventures of Robinson Crusoe, of York, mariner",5585456,English
http://ufdc.ufl.edu/UF00073554,New York (No. 118 William Street),1864,The life and surprising adventures of Robinson Crusoe ,7517958,English
http://ufdc.ufl.edu/UF00073546,Edinburgh,1861,The Life and surprising adventures of Robinson Crusoe,27943277,English
http://ufdc.ufl.edu/UF00073539,Wakefield++London (22 Paternoster Row),1865,The life and surprising adventures of Robinson Crusoe ,27966251,English
http://ufdc.ufl.edu/UF00073538,London (Paternoster Row),1865,The life and surprising adventures of Robinson Crusoe ,28239070,English
http://ufdc.ufl.edu/UF00073552,Cincinnati,1864,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",27943272,English
http://ufdc.ufl.edu/UF00073583,New York (Franklin Square),1871,"The Life and surprising adventures of Robinson Crusoe of York, mariner",28050577,English
http://ufdc.ufl.edu/UF00072817,London (York Street Covent Garden),1859,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",4971972,English
http://ufdc.ufl.edu/UF00072798,London,1855,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",28315616,English
http://ufdc.ufl.edu/UF00072811,"Newburyport, MA",1856,"The life and surprising adventures of Robinson Crusoe, of York, mariner",4294538,English
http://ufdc.ufl.edu/UF00072768,Boston++Newburyport,1833,"The life and surprising adventures of Robinson Crusoe, of York, mariner",10745250,English
http://ufdc.ufl.edu/UF00073638,New York,1895,"The Life and surprising adventures of Robinson Crusoe of York, mariner ",1440205,English
http://ufdc.ufl.edu/UF00073626,Rutland Vt,1890,"The life and surprising adventures of Robinson Crusoe of York, mariner",26812743,English
http://ufdc.ufl.edu/UF00073608,London,1885,"The Life and surprising adventures of Robinson Crusoe of York, mariner",26873644,English
http://ufdc.ufl.edu/UF00074460,New York,,"The Life and surprising adventures of Robinson Crusoe, of York, mariner",24526825,English
http://ufdc.ufl.edu/UF00074442,London ( Piccadilly ),1896,"The Life and surprising adventures of Robinson Crusoe of York, mariner. /",10369979,English
http://ufdc.ufl.edu/UF00072766,London,1831,"The life and surprising adventures of Robinson Crusoe, of York, mariner",14236069,English
http://ufdc.ufl.edu/UF00072800,Glasgow,1855,The Life and wonderful adventures of Robinson Crusoe ,27606558,English
http://ufdc.ufl.edu/UF00073537,London (York Street Covent Garden),1859,The life of Robinson Crusoe in short words ,20484714,English
http://ufdc.ufl.edu/UF00073536,London,1859,The Life of Robinson Crusoe in short words,27077264,English
http://ufdc.ufl.edu/UF00026282,London,1870,"Life on desolate islands, or, Real Robinson Crusoes",36055376,English
http://ufdc.ufl.edu/UF00072783,Philadelphia++New Haven,1843,The little Robinson Crusoe,19580104,English
http://ufdc.ufl.edu/UF00072813,Philadelphia,1857,The Little Robinson Crusoe,27081345,English
http://ufdc.ufl.edu/UF00072787,Philadelphia,1845,The Little Robinson Crusoe,27020839,English
http://ufdc.ufl.edu/UF00072792,Albany,1848,The Little Robinson Crusoe,27085575,English
http://ufdc.ufl.edu/UF00072799,Boston (36 Cornhill),1855,The Little Robinson Crusoe,27085573,English
http://ufdc.ufl.edu/AA00021429,"Printed at Worcester, Massachusetts",1795,"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner",,English
http://ufdc.ufl.edu/AA00021491,Portland [Me.],1789,"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner",23031561,English
http://ufdc.ufl.edu/UF00073627,London++New York,1890,My Robinson Crusoe story book ,28121072,English
http://ufdc.ufl.edu/UF00055798,Chicago++New York,1888,My treasure,14364951,English
http://ufdc.ufl.edu/AA00021428,"London (opposite Burlington House, Piccadilly)",1789,The new Robinson Crusoe,23031023,Englishfreger
http://ufdc.ufl.edu/UF00072760,New York,1829,"The New Robinson Crusoe, designed for youth",27081393,English
http://ufdc.ufl.edu/UF00074468,Cambridge,1928,Premi·eres aventures de Robinson Crusoe,3237130,French
http://ufdc.ufl.edu/UF00074466,Chicago++Philadelphia++Dallas,1925,Robinson Crusoe,3158657,English
http://ufdc.ufl.edu/UF00073641,,1906,Robinson Crusoe,,
http://ufdc.ufl.edu/UF00073642,New York,1945,Robinson Crusoe,19297346,English
http://ufdc.ufl.edu/UF00074475,,1946,Robinson Crusoe.,5465008,
http://ufdc.ufl.edu/UF00074456,London++New York,1958,Robinson Crusoe,4706883,
http://ufdc.ufl.edu/UF00074448,New York,1898,Robinson Crusoe,28121076,English
http://ufdc.ufl.edu/UF00074453,New York++London++Paris,1900,Robinson Crusoe,26882916,English
http://ufdc.ufl.edu/UF00074438,New Tork,1895,Robinson Crusoe.,,English
http://ufdc.ufl.edu/UF00074444,,1897,Robinson Crusoe.,,English
http://ufdc.ufl.edu/UF00074439,Philadelphia,1895,Robinson Crusoe,,English
http://ufdc.ufl.edu/UF00096279,New York,1897,Robinson Crusoe,28121080,English
http://ufdc.ufl.edu/UF00096273,New York,1895,Robinson Crusoe,28121078,English
http://ufdc.ufl.edu/UF00096274,New York,1895,Robinson Crusoe,28121078,English
http://ufdc.ufl.edu/UF00096275,New York,1895,Robinson Crusoe,27022440,English
http://ufdc.ufl.edu/UF00096276,Philadelphia,1895,Robinson Crusoe,26942895,English
http://ufdc.ufl.edu/UF00003505,Boston,1859,Robinson Crusoe,25275524,English
http://ufdc.ufl.edu/UF00073632,Chicago,1892,Robinson Crusoe,22044869,English
http://ufdc.ufl.edu/UF00073604,London (14 King William Street Strand W.C.)++New York,1882,Robinson Crusoe,4947125,English
http://ufdc.ufl.edu/UF00073565,London++New York,1873,Robinson Crusoe,14008665,English
